model,episode,scenario,scenario_name,n_agents,block_exit,block_at_step,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward
astar,1,4,양방향 동시 위협,40,A,50,9,9,0,31,0.225,103,0.0,-1335.16
astar,2,4,양방향 동시 위협,40,A,50,40,10,30,0,1.0,91,0.0,895.46
astar,3,4,양방향 동시 위협,40,A,50,4,0,4,36,0.1,63,0.0,-1738.32
astar,4,4,양방향 동시 위협,40,A,50,37,0,37,3,0.925,95,0.0,718.93
astar,5,4,양방향 동시 위협,40,A,50,31,3,28,9,0.775,110,0.0,342.76
astar,6,4,양방향 동시 위협,40,A,50,20,14,6,20,0.5,99,0.0,-540.95
astar,7,4,양방향 동시 위협,40,A,50,40,21,19,0,1.0,139,0.0,881.09
astar,8,4,양방향 동시 위협,40,A,50,6,4,2,34,0.15,71,0.0,-1586.37
astar,9,4,양방향 동시 위협,40,A,50,3,1,2,37,0.075,67,0.0,-1813.84
astar,10,4,양방향 동시 위협,40,A,50,15,14,1,25,0.375,95,0.0,-906.19
astar,11,4,양방향 동시 위협,40,A,50,36,0,36,4,0.9,87,0.0,695.3
astar,12,4,양방향 동시 위협,40,A,50,38,3,35,2,0.95,111,0.0,780.27
astar,13,4,양방향 동시 위협,40,A,50,39,0,39,1,0.975,97,0.0,827.03
astar,14,4,양방향 동시 위협,40,A,50,15,11,4,25,0.375,86,0.0,-900.63
astar,15,4,양방향 동시 위협,40,A,50,35,6,29,5,0.875,92,0.0,599.41
astar,16,4,양방향 동시 위협,40,A,50,2,2,0,38,0.05,71,0.0,-1901.17
astar,17,4,양방향 동시 위협,40,A,50,4,3,1,36,0.1,87,0.0,-1726.39
astar,18,4,양방향 동시 위협,40,A,50,36,0,36,4,0.9,72,0.0,681.13
astar,19,4,양방향 동시 위협,40,A,50,19,19,0,21,0.475,101,0.0,-608.66
astar,20,4,양방향 동시 위협,40,A,50,9,1,8,31,0.225,81,0.0,-1352.86
astar,21,4,양방향 동시 위협,40,A,50,40,14,26,0,1.0,148,0.0,880.4
astar,22,4,양방향 동시 위협,40,A,50,40,13,27,0,1.0,143,0.0,915.78
astar,23,4,양방향 동시 위협,40,A,50,33,1,32,7,0.825,120,0.0,474.14
astar,24,4,양방향 동시 위협,40,A,50,7,2,5,33,0.175,66,0.0,-1490.5
astar,25,4,양방향 동시 위협,40,A,50,12,4,8,28,0.3,86,0.0,-1117.57
astar,26,4,양방향 동시 위협,40,A,50,6,0,6,34,0.15,67,0.0,-1564.4
astar,27,4,양방향 동시 위협,40,A,50,19,17,2,21,0.475,80,0.0,-587.17
astar,28,4,양방향 동시 위협,40,A,50,3,2,1,37,0.075,86,0.0,-1795.52
astar,29,4,양방향 동시 위협,40,A,50,33,2,31,7,0.825,83,0.0,469.57
astar,30,4,양방향 동시 위협,40,A,50,19,14,5,21,0.475,111,0.0,-596.38
ppo,1,4,양방향 동시 위협,40,A,50,4,2,2,36,0.1,50,0.0,-1752.76
ppo,2,4,양방향 동시 위협,40,A,50,39,5,34,1,0.975,79,0.0,861.56
ppo,3,4,양방향 동시 위협,40,A,50,15,2,13,25,0.375,65,0.0,-884.92
ppo,4,4,양방향 동시 위협,40,A,50,36,4,32,4,0.9,111,0.0,662.9
ppo,5,4,양방향 동시 위협,40,A,50,10,8,2,30,0.25,120,0.0,-1257.86
ppo,6,4,양방향 동시 위협,40,A,50,35,0,35,5,0.875,96,0.0,603.02
ppo,7,4,양방향 동시 위협,40,A,50,40,16,24,0,1.0,174,0.0,883.4
ppo,8,4,양방향 동시 위협,40,A,50,34,2,32,6,0.85,77,0.0,520.55
ppo,9,4,양방향 동시 위협,40,A,50,21,16,5,19,0.525,129,0.0,-452.63
ppo,10,4,양방향 동시 위협,40,A,50,35,2,33,5,0.875,80,0.0,587.2
ppo,11,4,양방향 동시 위협,40,A,50,3,0,3,37,0.075,87,0.0,-1815.04
ppo,12,4,양방향 동시 위협,40,A,50,8,6,2,32,0.2,69,0.0,-1398.55
ppo,13,4,양방향 동시 위협,40,A,50,36,3,33,4,0.9,124,0.0,685.47
ppo,14,4,양방향 동시 위협,40,A,50,8,2,6,32,0.2,109,0.0,-1417.25
ppo,15,4,양방향 동시 위협,40,A,50,2,2,0,38,0.05,87,0.0,-1893.39
ppo,16,4,양방향 동시 위협,40,A,50,15,7,8,25,0.375,103,0.0,-893.56
ppo,17,4,양방향 동시 위협,40,A,50,35,4,31,5,0.875,72,0.0,601.78
ppo,18,4,양방향 동시 위협,40,A,50,14,13,1,26,0.35,92,0.0,-961.39
ppo,19,4,양방향 동시 위협,40,A,50,10,4,6,30,0.25,66,0.0,-1275.15
ppo,20,4,양방향 동시 위협,40,A,50,22,20,2,18,0.55,80,0.0,-393.64
ppo,21,4,양방향 동시 위협,40,A,50,34,3,31,6,0.85,125,0.0,526.61
ppo,22,4,양방향 동시 위협,40,A,50,40,15,25,0,1.0,129,0.0,890.81
ppo,23,4,양방향 동시 위협,40,A,50,37,1,36,3,0.925,90,0.0,745.93
ppo,24,4,양방향 동시 위협,40,A,50,35,1,34,5,0.875,85,0.0,588.55
ppo,25,4,양방향 동시 위협,40,A,50,37,4,33,3,0.925,79,0.0,744.85
ppo,26,4,양방향 동시 위협,40,A,50,40,17,23,0,1.0,134,0.0,902.71
ppo,27,4,양방향 동시 위협,40,A,50,7,2,5,33,0.175,74,0.0,-1505.62
ppo,28,4,양방향 동시 위협,40,A,50,9,4,5,31,0.225,73,0.0,-1352.85
ppo,29,4,양방향 동시 위협,40,A,50,29,20,9,11,0.725,131,0.0,155.31
ppo,30,4,양방향 동시 위협,40,A,50,34,5,29,6,0.85,110,0.0,541.96
